1788567113737|repost|15|0|3|48|image|We're excited to announce a new OSMOSIS Corporate Partner with the Inland Western Pacific Investigators Association (INWPIA). Together we are partnering to support the advancement of the OSINT profession, bringing our two communities closer
1788700027477|post|51|7|3|0|image|
1788778832913|post|33|4|1|0|image|
1788865219741|post|39|2|1|0|image|
1788866124263|post|7|0|0|266|image|The Voight-Kampff test doesn't ask you who you are
1788951628362|post|22|3|3|0|image|
1789056109938|post|21|0|1|0|image|
1789056686616|repost|31|4|4|268|image|F1NDX has established a partnership with OSINT
1789057367461|repost|84|14|3|49|image|If you are looking to preorder my book Deep Dive
1789059124356|post|2|0|0|14|image|OSINT Job Tracker September 10, 2026
1789059832059|post|9|0|0|53|image|In the last 90 days, my Chrome extension "OSINT Lens" has had 250 installs. If you have downloaded it, I would really appreciate hearing your feedback. If you haven't yet tried it, you can access it here. Please feel free to share any const
1789064647403|post|7|0|0|169|image|Have you heard of a micro-school? I have been helping my wife with her recently launched farm based micro-school. This school is located on a 28 acre historic farm in our community which we have been granted access to use. We have cows, goa
1789124414465|post|17|1|1|0|image|
1789126217225|post|17|0|4|60|image|Do you use "Have I Been Pwned?" Have you ever wanted to search multiple email addresses simultaneously? ---> https://lnkd.in/eAjFtAVt I created this tool called "Pwned Lookup" that allows you to do just that. Just add your HIBP API key and
1789137306513|repost|14|2|6|167|image|He has never been to Georgia, and he is not a security researcher. He still rebuilt the order that 1.52 million ballots were cast in, using files any member of the public can request and about 20 dollars of agent time. This week's Friday 5
1789144207275|post|24|0|0|18|image|I will NEVER forget. My heart breaks for the families who lost loved ones on that tragic day.
1789165718998|repost|2|2|1|136|link|YHBW - You Have Been Warned is coming closer to launch. All of those crimes that get reported but never get prosecuted or make it to the public records phase? How many investigators like me would love to have that information, even if it ca
1789176627500|post|7|1|1|26|image|New course from My OSINT Training! I have taken many courses from MOT and they are great, go check this one out! ---> https://lnkd.in/ezSCjpPy hashtag #OSINT
